IDENTIFICATION,,,LOCALITY,,,,,,,,,,,,,,TIME,,,,,,,,,,PLANT,,,,,,,,,,,,,,,,,,,CAT DET.,,,,,,,LEP COMMENTS,,,TOID and EME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,tempID,Pinned,Date,Year,Month,Day,Site,Time,coord_approx_exact,Lat,Long,LatLong,plot_num,Plot_by_day,Location_Description,time_per,n_coll,time_cum,tree_ID,elev,forest_type,order,family,subfamily,tribe,subtribe,genus,plant_cn,Epiphyte,Epiphyte_of,HPlant,Plant_Genus,Plant_Sp,PlantIND,MicroMacro,N_collected,Need_Recount,life_stage,lep_fam,lep_subfam,lep_tribe,lep_genus,lep_sp,lep_name,suspected,common_name,Morpho,Status,Host_unconfirmed,Label_Tape,C.C.I,MORPHO,lep_comment,LifeHistoryNote,Btoid,pupal,toided,eme,toid_name,Parasitoid_Order,Parasitoid_Family,Parasitoid_Subfamily,Parasitoid_Tribe,toid_morpho,toid_ID,Identified_by,date_eclosed,number eclosed,result,lep_subfam,lep_cn,lep_sp,lep_comment,lep_determ,lep_voucher,color_morph,drop,thrash,bite,vomit,shelter_web,group,frass_thrower,ostemeria,hair,spiny,glabrous,urticate,mass,length,behav_comment,photo_num,p_endo_ecto,p_pupate_type,p_larva_hostlarva_hostpupa,p_adult_hostlarva_hostpupa,p_date_pupate,p_date_eclosed,p_pupate_loc,num_psit,p_behav,psit_fam,psit_subfam,psit_sp,p_comment,p_voucher,collector,p_determ,,,,,,
1,,,4-Jun-09,2009,June,4,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Spiny Ribes,,,Ribes montigenum,,,,,,,,,,,,,,,mean greeney,,dead,,,,,poss pst,,,3-Jul-09,,,,,,,,,,,,,dead,,mean greeney,,poss pst,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_1_rearing,,,,,,,,,,,,,,,,,,,,,,
2,,,4-Jun-09,2009,June,4,Sagehen,,,,,,,,,,,,,,,,Apiaceae,,,,,Celery,,,,,,,,,,,,,,,,,,greeneys blackhead,,dead,,,,,,,,,,,,,,,,,,,,,dead,,greeneys blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_2_rearing,,,,,,,,,,,,,,,,,,,,,,
3,,,4-Jun-09,2009,June,4,Sagehen,,,,,,,,,,,,,,,,Apiaceae,,,,,Celery,,,,,,,,,,,,,,,,,,greeneys blackhead,,adult,,,,,,,,12-Jun-09,,26-Jun-09,,,,,,,,,,,adult,,greeneys blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,4-Jun-09,2009,June,4,Sagehen,,,,,,,,,,,,,,,,Apiaceae,,,,,Celery,,,,,,,,,,,,,,,,,,greeneys blackhead,,adult,,,,,,,,16-Jun-09,,29-Jun-09,,,,,,,,,,,adult,,greeneys blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,4-Jun-09,2009,June,4,Sagehen,,,,,,,,,,,,,,,,Apiaceae,,,,,Celery,,,,,,,,,,,,,,,,,,greeneys blackhead,,adult,,,,,,,,12-Jun-09,,25-Jun-09,,,,,,,,,,,adult,,greeneys blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,4-Jun-09,2009,June,4,Sagehen,,,,,,,,,,,,,,,,Apiaceae,,,,,Celery,,,,,,,,,,,,,,,,,,greeneys blackhead,,adult,,,,,,,,10-Jun-09,,20-Jun-09,,,,,,,,,,,adult,,greeneys blackhead,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,greeneymetrid,,psit,,,,,,,,,,,,,,,,,,,,,psit,,greeneymetrid,,,,,Cryptic,No,No,No,No,None,No,No,No,No,No,Yes,No,,,Grabs poop with mandibles and drops it off leaf!,SCRS_7_rearing,Endo,Out,Larva,,12-Jun-09,19-Jun-09,On leaf,1,Eclosion date not exact,,,,,,,,,,,,,
8,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,dead,,,,,poss pst,,,,,,,,,,,,,,,,dead,,pudgy greeney,,poss pst,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_8_rearing,,,,,,,,,,,,,,,,,,,,,,
9,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_9_rearing,Endo,In,Larva,,10-Jun-09,27-Jun-09,Inside larval shelter,Many,,,,,,,,,,,,,,
10,,,5-Jun-09,2009,June,5,Sagehen,,,,,,,,,,,,,,,,Grossulariaceae,,,,,Wax Currant,,,Ribes cereum,,,,,,,,,,,,,,,pudgy greeney,,psit,,,,,,,,,,,,,,,,,,,,,psit,,pudgy greeney,,,,,Cryptic,Yes,Yes,No,No,Multi-leaf,No,No,No,No,No,Yes,No,,,,SCRS_10_rearing,Endo,In,Larva,,10-Jun-09,27-Jun-09,Inside larval shelter,Many,,,,,unknonw Psit family,,,,,,,,,
